gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,operation_mode,other_moving_ac,QDepDep,taxi_time
16,16,22,157.2443094146,24.56290028457471,0,24.2922962236,78.3397662866,0.0,1,15,2,1.5
16,16,22,297.5747852835873,261.66076698120787,0,82.2342883991,169.0969547831,0.0,1,14,2,1.6666666666666667
16,16,23,345.5583806585341,206.91120932849128,0,145.4343509310341,116.8475823,0.0,0,12,0,1.85
16,16,23,1679.7555353710736,691.5024208931918,0,1160.2790817528326,83.4322277087,0.0,0,14,0,4.933333333333334
16,17,23,2171.9094983326395,950.0389142536728,0,1755.629264939267,120.216071857,578.1768592638504,1,19,6,51.43333333333333
16,16,23,1816.410743796485,585.554285581635,0,1373.1824707404292,113.012561341,886.4465447797426,0,13,0,5.083333333333333
16,16,23,2360.0094844381124,675.0759318130039,0,2062.218487615951,90.959777885,578.1768592638504,0,18,0,12.583333333333334
16,16,23,1571.002193249593,318.9161398571779,0,1122.6356493447372,82.9530943613,886.4465447797426,0,15,0,4.1
16,16,23,2092.284145035569,767.8683713775497,0,1495.2497768695523,103.676652407,578.1768592638504,0,19,1,8.983333333333333
16,16,23,1622.1644376608103,471.6705252003631,0,1125.6885712565495,170.07485191,575.4407558091866,0,17,0,4.533333333333333
16,16,23,1934.471319526045,852.3936263958799,1,1495.5932985531476,90.631546504,0.0,0,19,2,11.066666666666666
16,16,26,1724.3333243366849,382.3650227333808,0,1395.842650573729,0.0,886.4465447797426,0,22,0,4313.483333333334
16,16,23,2119.1317197239064,1008.0525611229624,1,1588.6768584227352,112.201789352,0.0,0,19,3,11.533333333333331
17,16,23,1630.8838243989928,332.73072200029753,0,1165.5475705102426,61.9135360239,886.4465447797426,0,18,0,10.066666666666666
16,17,23,2155.213842791106,998.3377346017404,1,1541.836840654535,101.443894651,0.0,1,19,3,14.116666666666667
17,17,23,2566.163690213886,623.8753088391605,0,2105.620413731729,112.201789352,1187.1580626872835,1,15,0,5.333333333333333
17,17,23,2754.14590772453,630.1452347601598,0,2504.779092597546,68.8858870922,1019.764459621634,1,17,0,8.9
18,17,11,2959.082510563816,418.2042598621212,0,1648.2190516148542,126.546722489,1097.475619629873,1,19,0,27423.25
17,17,23,2851.6237379372724,502.2362006017719,0,2582.963506137576,112.840287221,796.0465784219341,1,17,0,8.25
17,17,23,1997.0321794739584,767.8984471927629,0,1590.4777554321647,91.6845157884,805.3155182386618,1,18,2,13.0
17,17,23,706.7403405203711,139.79250486027425,0,524.1999551091711,83.4322277087,591.4950920916712,1,17,2,8.15
17,17,23,2656.331796160944,562.0510032535082,0,2245.4003378843627,69.2045554246,1070.438452629734,1,18,0,7.35
17,17,23,653.5672805453642,183.3432998362418,0,101.2537122451,0.0,0.0,1,15,0,1.65
17,17,23,259.2908943704,265.6997203213444,0,49.508603539700005,113.012561341,0.0,1,14,2,4.8
17,17,23,1733.9575133131316,524.9364065047859,0,1207.8339287753256,87.6834748021,575.4407558091866,1,15,0,2.933333333333333
17,17,23,691.6861800837839,96.37671626395866,0,74.42402597062541,0.0,0.0,1,13,0,0.9166666666666666
17,17,24,1326.198846878156,277.2300821275593,0,1073.352836439611,112.840287221,796.0465784219341,0,13,0,3.816666666666667
17,17,24,3267.064291656078,478.3100082163703,0,2958.2300660691644,0.0,2643.68037537876,0,17,0,8.55
17,17,24,2979.183381059172,678.2560119901204,0,2658.1865088768764,106.423920412,796.0465784219341,0,18,0,6.9
17,17,24,938.7571684079272,389.07807939550906,0,662.831530627613,101.443894651,0.0,0,17,2,9.583333333333334
17,18,24,3545.17100552425,662.4479433887082,0,3348.6441140217644,68.8858870922,2008.432047771288,0,16,7,20.48333333333333
17,18,24,1442.551613031189,348.76931073276745,0,1248.4252491995749,82.9530943613,746.9421803053973,0,17,4,13.066666666666666
17,17,24,1023.7835643094944,391.0986285284237,0,751.6595470378003,87.1816780958,0.0,0,17,3,8.3
17,17,24,1812.626180276732,587.9371305416772,0,1341.993462662629,116.843538226,575.4407558091866,0,17,0,3.466666666666667
17,18,24,2070.172347552565,372.8688409442439,0,1860.522210945004,83.4322277087,974.8760264943768,0,21,5,12.833333333333334
17,18,24,1311.5137982379592,373.8258856138374,0,1099.0745752143396,86.2988381711,565.1118910359618,0,19,5,9.916666666666666
17,18,24,1141.721532941311,343.6156737381869,0,893.3561851291968,87.6834748021,596.2474295666939,0,19,7,14.5
18,18,24,2002.298453888582,626.6173783226351,0,1565.5846006314014,127.735225864,0.0,0,16,0,5.416666666666667
18,18,24,1189.7354268201152,569.4203380307125,0,709.0750727290003,90.631546504,0.0,0,16,4,15.65
