id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
20-Oct-2024_VIR74Y  ,arrival,11.05,09,09,20,2303.895739322788,498.4437925744262,0,2098.7279732720635,106.423920412,796.0465784219341,1401.425240488854,,-1,0,10,0,0,1,4,0,0,4,2
20-Oct-2024_SHT3R   ,departure,12.35,09,09,20,1349.8797614904013,595.5533403934604,0,1038.02779773808,0,0,1349.8797614904013,23R/05L,1,0,8,1,5,0,0,3,0,0,0
20-Oct-2024_SIA52   ,departure,16.25,09,09,20,3200.8908883814506,533.46486998877,0,3020.1960858201646,0,1743.1865729575538,1457.7043154238968,23R/05L,1,0,7,2,6,0,0,1,0,0,0
20-Oct-2024_RYR2132 ,arrival,3.85,09,09,20,1289.7258326271813,462.3367120325455,0,840.6372082616426,90.631546504,0,1199.0942861231813,,-1,0,5,0,0,0,1,0,0,4,0
20-Oct-2024_SHT2Q   ,arrival,1.4,09,09,20,277.53908309229485,96.94070838903623,0,158.91938518279483,84.7457731106,0,192.79330998169485,,-1,0,6,0,0,0,0,0,0,4,1
20-Oct-2024_VIR75L  ,departure,18.766666666666666,09,09,20,3228.5605117022565,753.192348809315,0,2610.422852049466,126.201474686,1487.1711718053893,1615.1878652108671,23R/05L,1,0,9,4,4,0,0,4,1,0,0
20-Oct-2024_RYR19SC ,arrival,3.7333333333333334,09,09,20,1637.1587066960672,433.71903779854654,0,1408.3969938789123,116.843538226,543.3363431868075,976.9788252832597,23R/05L,1,0,10,0,0,1,0,0,0,6,2
20-Oct-2024_THY9NV  ,departure,22.483333333333334,09,09,20,2529.305994750969,701.3860053170556,0,2214.41423070973,112.574782287,746.9421803053973,1669.789032158572,23R/05L,1,0,14,3,3,0,0,3,2,0,0
20-Oct-2024_UAE6AQ  ,departure,21.516666666666666,09,09,20,1822.437286497854,362.53866742926715,0,1521.7484064428927,139.479225601,974.8760264943767,708.0820344024773,23R/05L,1,0,16,4,5,0,0,5,4,0,0
20-Oct-2024_EZY56FG ,arrival,0.5333333333333333,09,09,20,303.49040108144163,186.84321243009845,0,167.65724346138285,0,0,303.49040108144163,23R/05L,1,0,9,0,0,0,1,0,0,5,3
20-Oct-2024_EZY49KL ,arrival,3.6,09,09,20,1574.521393876279,577.852127961959,0,1185.6936056357254,64.6124524558,623.2193247307075,886.6896166897716,23R/05L,1,0,8,0,0,1,1,0,0,6,2
20-Oct-2024_SIA51   ,departure,26.716666666666665,09,09,20,3260.6773774514504,620.828494749327,0,2998.0268812318645,112.840287221,1743.1865729575538,1404.6505172728966,23R/05L,1,0,16,4,3,0,0,5,2,0,0
20-Oct-2024_TAP11LC ,departure,22.966666666666665,09,09,20,2440.0715883743937,671.4094285263857,0,2073.227103424382,120.216071857,974.8760264943767,1344.9794900230172,23R/05L,1,0,14,4,4,0,0,4,2,0,0
20-Oct-2024_EMC7    ,departure,13.916666666666666,09,09,20,2246.483448030543,599.3930392969604,0,1730.3022398175694,0,974.8760264943767,1271.6074215361664,23R/05L,1,0,12,2,2,0,0,5,2,0,0
20-Oct-2024_VIR77N  ,departure,30382.483333333334,09,12,10,3947.375466161839,965.9836181727117,0,1420.0387188855786,110.712389807,974.8760264943767,2861.7870498604625,,-1,0,18,173,214,0,0,6,2,0,0
20-Oct-2024_TSC206  ,arrival,8.5,09,09,20,1890.335663513654,290.27475492575235,0,1650.4215117541662,106.733294121,0,1783.602369392654,23R/05L,1,0,12,0,0,1,0,0,0,7,2
20-Oct-2024_RYR356N ,arrival,6.866666666666666,09,09,20,2433.0608872226776,635.0963249474971,0,2058.780395963529,101.443894651,923.4468989662427,1408.1700936054349,23R/05L,1,0,12,0,0,1,1,0,0,6,3
20-Oct-2024_DLH8JV  ,departure,16.216666666666665,09,10,20,2423.5321689243938,642.2588321981123,0,1971.2397747930045,103.676652407,974.8760264943767,1344.9794900230172,23R/05L,1,0,16,4,4,0,0,6,4,0,0
20-Oct-2024_EZY13VA ,arrival,3.9833333333333334,09,09,20,1397.5504333857104,345.5084586632261,0,928.7977470268495,88.9090138822,575.4407558091866,733.2006636943238,23R/05L,1,0,13,0,0,2,0,0,0,6,4
20-Oct-2024_TOM114  ,departure,17.933333333333334,09,10,20,2459.3486980214093,941.1716319221946,0,2043.7954592759552,109.341765491,0,2350.0069325304094,23R/05L,1,0,13,4,9,0,0,5,5,0,0
20-Oct-2024_PGT2GA  ,arrival,3.9833333333333334,10,10,20,1046.199821832434,262.8450858812164,0,943.4711700073341,71.3005402027,613.7392044684341,361.1600771613,,-1,0,12,0,0,1,2,0,0,7,4
20-Oct-2024_EZY2128 ,arrival,4.4,09,09,20,1204.0283375431495,354.18039547593406,0,1061.4352131979495,78.3397662866,0,1125.6885712565495,,-1,0,12,0,0,1,1,0,0,6,5
20-Oct-2024_RYR2131 ,departure,13.816666666666666,09,10,20,1189.7354268201152,569.4203380307125,0,709.0750727290003,90.631546504,0,1099.1038803161152,23R/05L,1,0,17,3,6,0,0,6,5,0,0
20-Oct-2024_ICE28T  ,arrival,3.8666666666666667,10,09,20,1900.8305220868388,380.0347542694296,0,1645.1860450263616,104.571349969,612.4411099956866,1183.8180621221522,23R/05L,1,0,12,0,0,1,1,0,0,5,5
20-Oct-2024_RYR453  ,departure,19.483333333333334,10,10,20,1116.9565751162077,280.63614974168115,0,795.8358421656934,116.843538226,596.2474295666939,403.8656073235138,23R/05L,1,0,15,4,8,0,0,5,5,0,0
20-Oct-2024_RUK3836 ,departure,15.666666666666666,10,10,20,902.6750453407273,398.79290591673106,0,615.991512859413,112.201789352,0,790.4732559887273,23R/05L,1,0,15,3,7,0,0,6,5,0,0
20-Oct-2024_TOM182  ,departure,20.35,10,10,20,2609.218523420288,605.7486843877592,0,2450.526173906102,0,974.8760264943767,1634.3424969259113,23R/05L,1,0,15,4,7,0,0,6,4,0,0
20-Oct-2024_RYR61QF ,arrival,6.85,10,10,20,1726.136540179618,643.9457084485392,0,1439.5860019567124,113.012561341,575.4407558091866,1037.6832230294312,23R/05L,1,0,11,0,0,1,5,0,0,7,4
