PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,taxi_time
-1.247236598,1.211710376,-1.468867828,0.946873986,-0.057918423,-0.498766534,0.382865881,-0.328704538,-0.840986246,0.217933637,0.7602903,-0.422968924,6.85
5.438915704,0.860000158,0.955960958,3.172187038,1.438111663,2.969083351,0.063426973,1.946346003,1.287481527,-1.306511581,0.79592903,-1.177224998,4740.366667
0.973071441,-1.124391589,-1.585699849,0.790080777,0.461496797,-0.723132602,0.532225112,-1.450316676,0.264959933,0.619975426,0.008571478,-0.645774286,12.91666667
-1.303154724,-3.18309299,-1.334277543,1.608057878,0.921574843,-0.382172763,0.092605326,-0.701430449,0.281024685,0.526421842,-0.053060949,-0.60817965,7.016666667
-1.827101951,-3.705453663,-1.293514198,1.6285108,0.955555703,-0.472111844,0.142988313,-0.893114657,0.302875242,0.465858201,0.256478661,-0.442925485,1.85
2.310372764,-1.077823518,1.706200033,0.301966861,-0.217256305,-0.39228239,0.122300408,-1.232681397,0.025785372,-0.453293041,-0.95588657,0.665111529,13.46666667
1.11834113,-0.804304221,1.230479357,0.68846912,-0.380875101,-0.180227578,0.577428532,-0.217589247,0.78241715,0.069106808,-1.566315718,0.470893677,7.416666667
-0.624835756,1.075433374,0.232277061,-0.0913996,-0.645791277,0.282542175,-0.292631322,-1.099164407,1.745314414,-1.001498121,-0.604454622,0.06477028,5.616666667
-1.398157979,1.181201689,0.746284104,0.702287659,-0.863015305,0.547309363,0.661220491,0.253965109,-0.084381512,0.125656791,-0.360803016,1.212370677,5.266666667
-1.397913536,1.541915586,1.049534311,0.87467066,-0.930380331,0.552804864,0.509734858,0.335590101,-0.37521231,-0.202493536,-0.503171754,1.010047613,3.066666667
-2.368204319,0.978305825,0.896641283,0.489806345,-0.665371304,0.67868038,-0.742332467,-0.205052542,-0.215963977,-1.160634029,0.423712789,0.765449927,3.116666667
3.218364209,-0.142376346,2.118182638,0.28003121,-0.905561189,-0.514517619,1.305591744,3.25612617,-0.77820608,-0.305008061,0.655997586,0.456875443,18.38333333
2.60026386,-0.863723913,1.841068699,-0.27642735,-0.737980114,-0.736363435,0.901291824,1.918479911,-0.550842834,-0.813259985,2.279831419,0.748641841,9.75
2.980299123,-0.985135698,1.789934502,-0.085541231,-0.11936004,-0.477376944,-0.359286394,-1.83842509,-0.289220105,-0.729436455,-0.689094462,0.658241537,16.61666667
-0.20632957,2.562264887,0.527399986,-0.537585849,-1.035351439,0.171702235,-0.817229128,-0.140454212,0.037853833,-0.952596775,-0.199334617,0.417835382,9.433333333
1.917505877,-1.337350859,1.385185082,0.107966526,-0.003555027,-0.238165074,-0.416920382,-1.135642972,0.439715169,-0.674294947,-0.670601118,0.506484472,11.38333333
-1.111737244,2.268538796,0.965759861,0.207630163,-1.084412342,0.331686078,-0.728634696,1.588497021,-0.039069404,-0.765506181,-1.832861162,0.111254047,4.483333333
-1.364212368,2.252065954,1.186471716,0.44015157,-0.943622366,0.428894073,-0.4010101,-0.129559826,-0.510778633,-1.214374713,-0.069241274,0.580846821,4.266666667
3.569655062,-0.163845861,1.580328082,-0.369011802,-0.430427073,-0.510725943,0.304275186,-1.146873491,0.362470079,-0.389435295,-1.19459738,0.581884713,12.15
-1.576106522,1.733577275,1.550848303,0.883275931,-0.544608266,0.402012877,0.347875089,0.224122284,-0.589203746,-0.408274029,-0.435174093,0.925829448,15.83333333
3.400634812,-1.127676671,2.759255036,1.032716794,-0.782485407,-0.762260669,2.07464089,1.298873056,0.637018747,-0.924150324,-0.186987175,-0.433234895,11.21666667
-0.239480347,2.931395396,0.529184261,-0.717079877,-0.984570592,0.221646298,-0.311441946,-0.061271367,0.369258481,-0.782516252,-0.303520217,0.632907829,8.433333333
-0.807948878,2.518555849,0.490636878,-1.009264508,-0.701056633,0.26852311,-1.252075932,0.809446913,0.700309766,-1.275454075,-0.90238554,0.261268424,7.333333333
-3.694378756,0.020146766,1.082129424,0.575774907,-0.398027416,1.032348302,-1.31284253,1.406643227,0.236317142,-1.451786146,-0.729788878,0.504409332,1.9
2.752025498,-0.232253929,1.640576271,-0.143238398,-0.385641747,-0.244326941,0.489480446,-1.132138942,0.337055823,-0.066925294,-1.380290173,0.661325429,16.96666667
0.931617702,-1.033376686,0.804390857,-1.66979972,-0.066214744,0.0184648,-1.468826746,1.713752046,-0.186450778,-0.054754929,-0.792288441,1.460911035,10.28333333
-1.291590665,0.965268879,1.427691296,1.661066267,-0.816134237,0.674038705,1.739172531,-1.554346174,0.666351317,-0.082207485,-0.286658586,0.699075427,4.566666667
-1.994246862,0.443412091,0.592799555,-0.07166882,-0.452580767,0.694579722,-0.233663897,0.035004485,0.583056307,-0.462963738,0.481791313,1.090991782,3.5
2.155616988,-0.599861494,2.011798067,-0.001751194,-0.873357034,-0.359128322,1.453301069,3.045758262,-0.225552786,-0.292451786,1.197296261,0.61910191,13.43333333
-0.09314157,2.323952718,0.950033035,0.151438623,-1.241925539,0.403816221,0.907437642,0.477547148,-0.101415573,0.436604993,-1.119639018,0.963785937,7.333333333
0.00576443,-2.516299896,1.425991874,0.713880808,0.256853258,0.328191894,0.490802684,-0.718390714,0.910681051,0.125891576,-0.683671723,1.067296026,9.45
-0.34771597,-2.923976376,1.343282328,0.519308482,0.46186283,0.393467005,0.012757805,-0.647420454,0.986718223,0.021346239,-0.797985091,1.050824169,9.183333333
-0.468308831,2.556462891,0.347534342,-1.215436975,-0.911947824,0.321923339,-1.080586538,0.841335003,0.921491569,-0.950432629,-0.906800495,0.23790087,6.183333333
-1.811103789,0.772384759,1.164288732,0.67335355,-0.406295867,0.602515911,-0.024756276,-1.215969089,1.212608949,-1.228977054,-0.327643876,0.138715918,3.283333333
-3.303204074,0.218850716,1.080377711,0.324619454,-0.233998336,0.873213023,-1.068994194,1.486139855,0.503311089,-1.067022312,-0.784934566,0.540297659,2.933333333
-2.57901102,-0.99223312,0.313617189,-0.684520091,0.270116124,1.403401286,0.730792913,-1.182861462,1.547043869,-0.150446107,0.15335342,-0.811865258,3.516666667
-1.017390322,-1.960012146,0.744170108,-1.080918806,0.389093057,0.998811633,0.998140547,0.397259822,-0.148385744,1.086900734,0.102282695,0.366935579,11.08333333
2.510920397,1.193298928,-0.035898238,-3.130775826,-0.127421675,0.572387575,1.013074349,-0.996604372,0.425961467,0.911842656,0.666169713,0.191234579,24.2
-1.600904132,0.670542081,0.581385896,-0.672586643,-0.440385999,1.321074596,1.629267194,0.155622816,-0.203009275,1.023665989,-0.160321652,-0.010229541,5.266666667
-0.843739833,1.664289189,0.386358246,-1.455622037,-0.467909434,1.056939521,1.114421455,-0.073476995,0.056259381,0.51685079,-0.058959356,-0.29999463,4.566666667
-1.94699582,0.734854257,0.631117128,-1.597978586,0.359053168,1.068274959,0.332670918,-0.067852272,0.37048503,-0.116165417,0.657640299,-0.3661514,27.48333333
-0.891390383,1.286945724,0.267431662,-1.756996395,-0.451569936,1.108657765,0.592610951,-0.266201081,0.148326782,0.065937627,0.309196225,-0.38514107,4.716666667
1.003083848,-0.713133984,0.404720218,-2.699469392,0.113982236,0.407841944,-0.070686553,1.007551206,0.347192415,0.526908778,-0.915342591,-0.27600604,5.433333333
-1.580589898,1.236872685,0.753293225,-0.940871703,-0.415843211,1.244202943,1.069614059,-0.487494068,-0.357086029,0.10065421,0.55541189,-0.23469507,4.233333333
2.298323472,0.33735067,0.049292389,-3.521152578,0.054527923,0.240395101,-0.064138463,-0.738704203,0.305908824,0.293288008,0.42124451,-0.02042559,11.03333333
-0.704682508,1.967491232,0.680332636,-1.042479013,-0.660407147,1.153414342,2.053024606,0.276844254,-0.160661916,1.299608056,-0.793208494,-0.088196927,5.833333333
-1.114363441,1.014683754,0.418084196,-1.713288191,-0.30228486,1.323220998,1.282655716,-0.353604951,0.396418313,0.497927476,0.580144115,-0.026090002,4.05
-0.423229801,1.766649819,0.134396128,-2.377715483,-0.396361626,1.085025558,0.98661247,-0.068238033,0.768996017,0.453126472,0.099760371,-0.28161502,6.683333333
-1.425321764,0.892345656,0.644538005,-1.497467408,-0.351981797,1.371711302,1.144323949,-0.021406699,0.253081102,0.270026849,0.309752577,-0.17370691,3.366666667
-0.864547285,1.564138214,0.728593835,-1.688506402,-0.422261621,1.233519749,1.120060862,-0.058771267,0.032602272,0.374328221,-0.143554162,-0.264989262,5.316666667
-2.321498339,2.437173769,2.616676513,-0.814177841,4.134862114,-1.342208178,-0.060107036,1.845054148,0.22364515,0.821773933,-1.053587113,-0.930264745,2696
-2.166736084,0.220206437,0.754644649,-1.517121054,-0.011978719,1.537808615,0.500747051,-0.671641683,-0.015940862,-0.21441685,0.985077963,-0.087211567,3.266666667
-2.399768593,0.431927244,0.978880859,-1.272200066,-0.14386567,1.612754181,0.438720246,-0.16893904,-0.199066806,-0.285314769,0.352785264,-0.282424617,5.433333333
-1.017963475,-2.716038501,1.320554885,-1.367699318,0.578117806,1.113547008,0.732365704,0.426749198,-0.37115385,0.781575183,-0.001913523,0.494854408,6.6
-4.001884678,2.225253658,4.694992038,0.356913262,7.584207024,-2.675383061,0.276466885,-0.110132044,1.127142075,0.738279628,-0.230959577,-1.311171703,5734.7
-1.784708399,-4.121480937,1.746497231,-0.606281954,1.001712065,1.128502154,0.518565935,-0.972378424,0.3959354,0.051506974,-0.271914587,-0.204469631,2.65
-2.663459571,0.464560186,0.541296521,-2.092680368,0.123873441,1.487197713,-0.669547734,0.622595549,0.632319374,-0.79362205,-0.064673973,-0.759303288,3.216666667
-1.269812741,0.439138131,0.46064671,0.983022356,-0.490373986,0.233155553,0.074950879,-1.215918024,1.411368592,-0.510420809,-0.135857901,0.238670111,4.1
-1.157781049,1.556703904,0.674810232,0.834314966,-1.082582771,0.328789486,0.229008964,0.529725203,-0.10681048,0.065064886,-0.583367005,0.840801954,3.316666667
